color_balance: 0.0430s
rotate_hue: 0.8201s
invert_colors: 0.0362s
posterize: 0.0348s
         76656 function calls (75748 primitive calls) in 1.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 typing.py:1855(__new__)
      582    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      745    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       34    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      431    0.000    0.000    0.000    0.000 _parser.py:261(get)
      349    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
      448    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      393    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      151    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
        1    0.000    0.000    0.000    0.000 threading.py:1441(__init__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
    74/17    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
      110    0.000    0.000    0.000    0.000 Image.py:569(readonly)
       40    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       22    0.000    0.000    0.000    0.000 enum.py:966(_get_mixins_)
      618    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      100    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
      372    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        8    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
      304    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       19    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       40    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       13    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
      3/2    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       22    0.000    0.000    0.000    0.000 enum.py:1007(_find_data_type_)
        4    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
       30    0.000    0.000    0.000    0.000 Image.py:1367(getbands)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       10    0.000    0.000    0.000    0.000 Image.py:624(_ensure_mutable)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      512    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        8    0.000    0.000    0.000    0.000 functools.py:482(lru_cache)
      360    0.000    0.000    0.000    0.000 enum.py:251(__init__)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       26    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       54    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      151    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:1999(__init_subclass__)
       81    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 Image.py:270(getmodebase)
